Sequence,Fitness
00000,0.36787944117144233
00001,0.36787944117144233
00010,0.36787944117144233
00011,0.36787944117144233
00100,0.36787944117144233
00101,0.36787944117144233
00110,0.36787944117144233
00111,0.36787944117144233
01000,0.36787944117144233
01001,0.36787944117144233
01010,0.36787944117144233
01011,0.36787944117144233
01100,0.36787944117144233
01101,0.36787944117144233
01110,0.36787944117144233
01111,0.36787944117144233
10000,1.0
10001,0.36787944117144233
10010,0.36787944117144233
10011,0.36787944117144233
10100,0.36787944117144233
10101,0.36787944117144233
10110,0.36787944117144233
10111,0.36787944117144233
11000,0.36787944117144233
11001,0.36787944117144233
11010,0.36787944117144233
11011,0.36787944117144233
11100,0.36787944117144233
11101,0.36787944117144233
11110,0.36787944117144233
11111,0.36787944117144233
00000,0.36787944117144233
00001,0.36787944117144233
00010,0.36787944117144233
00011,0.36787944117144233
00100,0.36787944117144233
00101,0.36787944117144233
00110,0.36787944117144233
00111,0.36787944117144233
01000,0.36787944117144233
01001,0.36787944117144233
01010,0.36787944117144233
01011,0.36787944117144233
01100,0.36787944117144233
01101,0.36787944117144233
01110,0.36787944117144233
01111,0.36787944117144233
10000,1.0
10001,0.36787944117144233
10010,0.36787944117144233
10011,0.36787944117144233
10100,0.36787944117144233
10101,0.36787944117144233
10110,0.36787944117144233
10111,0.36787944117144233
11000,0.36787944117144233
11001,0.36787944117144233
11010,0.36787944117144233
11011,0.36787944117144233
11100,0.36787944117144233
11101,0.36787944117144233
11110,0.36787944117144233
11111,0.36787944117144233
00000,0.36787944117144233
00001,0.36787944117144233
00010,0.36787944117144233
00011,0.36787944117144233
00100,0.36787944117144233
00101,0.36787944117144233
00110,0.36787944117144233
00111,0.36787944117144233
01000,0.36787944117144233
01001,0.36787944117144233
01010,0.36787944117144233
01011,0.36787944117144233
01100,0.36787944117144233
01101,0.36787944117144233
01110,0.36787944117144233
01111,0.36787944117144233
10000,1.0
10001,0.36787944117144233
10010,0.36787944117144233
10011,0.36787944117144233
10100,0.36787944117144233
10101,0.36787944117144233
10110,0.36787944117144233
10111,0.36787944117144233
11000,0.36787944117144233
11001,0.36787944117144233
11010,0.36787944117144233
11011,0.36787944117144233
11100,0.36787944117144233
11101,0.36787944117144233
11110,0.36787944117144233
11111,0.36787944117144233
00000,0.36787944117144233
00001,0.36787944117144233
00010,0.36787944117144233
00011,0.36787944117144233
00100,0.36787944117144233
00101,0.36787944117144233
00110,0.36787944117144233
00111,0.36787944117144233
01000,0.36787944117144233
